Country Name,Country Code,Series Name,Series Code,1970 [YR1970],1980 [YR1980],1990 [YR1990],2000 [YR2000],2010 [YR2010],2017 [YR2017]
Belarus,BLR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.31,2.03,1.913,1.317,1.494,1.541
Belarus,BLR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,21.532,31.5568,41.6556,27.783,21.7498,14.507
Belgium,BEL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.25,1.68,1.62,1.67,1.86,1.68
Belgium,BEL,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,31.071,19.3974,11.0454,10.6408,7.6294,4.651
Belize,BLZ,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.299,5.849,4.508,3.601,2.69,2.346
Belize,BLZ,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,176.12,160.16,125.6696,97.2162,75.0698,68.487
Benin,BEN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.748,7.025,6.744,5.962,5.362,4.906
Benin,BEN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,91.6002,107.425,125.2996,118.5246,101.2906,86.096
Bermuda,BMU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,1.74,1.76,1.61
Bermuda,BMU,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,..,..,..,..,..,..
Bhutan,BTN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.601,6.511,5.493,3.515,2.301,1.994
Bhutan,BTN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,108.53,107.9456,103.574,77.1602,35.951,20.184
Bolivia,BOL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.004,5.474,4.89,4.051,3.213,2.777
Bolivia,BOL,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,103.1658,99.3674,93.8224,86.5276,76.5038,64.9
Bosnia and Herzegovina,BIH,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.929,2.122,1.772,1.497,1.315,1.276
Bosnia and Herzegovina,BIH,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,51.9024,39.743,30.0996,21.4168,13.7102,9.642
Botswana,BWA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.645,6.214,4.485,3.304,3.022,2.91
Botswana,BWA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,158.4964,146.6474,105.9442,59.1762,48.354,46.061
Brazil,BRA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.972,4.037,2.902,2.3,1.796,1.739
Brazil,BRA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,77.1184,77.4646,82.9406,82.21,66.8926,59.111
British Virgin Islands,VGB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..,..
British Virgin Islands,VGB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,..,..,..,..,..,..
Brunei Darussalam,BRN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.719,4.067,3.29,2.346,1.937,1.881
Brunei Darussalam,BRN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,75.6886,52.7362,39.5266,27.4754,15.8874,10.272
Bulgaria,BGR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.17,2.05,1.82,1.26,1.57,1.54
Bulgaria,BGR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,70.6416,78.8744,70.3296,44.808,44.7368,39.86
Burkina Faso,BFA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.623,7.127,7.007,6.592,5.867,5.271
Burkina Faso,BFA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,171.8518,162.9408,146.964,139.304,121.1052,104.329
Burundi,BDI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,7.249,7.395,7.405,6.92,6.179,5.502
Burundi,BDI,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,91.9032,88.3624,83.683,76.266,62.4852,55.59
Cabo Verde,CPV,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.935,6.375,5.392,3.539,2.581,2.309
Cabo Verde,CPV,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,116.8942,109.17,110.6228,96.512,82.6178,73.759
Cambodia,KHM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.465,5.87,5.601,3.805,2.875,2.53
Cambodia,KHM,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,92.8116,87.1178,75.3114,49.5172,48.0808,50.177
Cameroon,CMR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.203,6.625,6.436,5.58,5.111,4.639
Cameroon,CMR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,187.1306,196.0602,183.1988,154.7712,125.2854,105.8
Canada,CAN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.258,1.74,1.83,1.488,1.6269,1.4961
Canada,CAN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,40.3324,27.0236,24.3798,16.8338,12.3672,8.387
Cayman Islands,CYM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..,..
Cayman Islands,CYM,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,..,..,..,..,..,..
Central African Republic,CAF,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.958,5.897,5.811,5.5,5.215,4.796
Central African Republic,CAF,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,176.58,168.2892,156.927,149.054,140.637,129.074
Chad,TCD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.528,6.958,7.313,7.354,6.592,5.846
Chad,TCD,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,206.0654,217.1412,218.0928,212.41,185.364,161.09
Channel Islands,CHI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.121,1.454,1.483,1.526,1.585,1.516
Channel Islands,CHI,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,22.7254,16.2488,17.2128,13.656,9.6254,6.864
Chile,CHL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.778,2.744,2.579,2.055,1.884,1.678
Chile,CHL,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,83.3122,68.2424,66.11,60.3632,54.3068,41.052
China,CHN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.725,2.613,2.309,1.596,1.627,1.683
China,CHN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,38.6866,17.8548,20.1536,9.911,7.3422,7.635
Colombia,COL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.276,3.856,3.082,2.572,1.992,1.825
Colombia,COL,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,108.3792,89.9318,96.2052,97.6814,76.8484,66.651
Comoros,COM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,7.061,7.078,6.412,5.384,4.754,4.275
Comoros,COM,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,125.052,125.052,112.4578,94.8934,76.4744,65.351
"Congo, Dem. Rep.",COD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.215,6.535,6.746,6.751,6.544,6.017
"Congo, Dem. Rep.",COD,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,164.4116,140.8798,129.3978,125.4476,129.9144,124.22
"Congo, Rep.",COG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.267,6.059,5.119,4.871,4.765,4.482
"Congo, Rep.",COG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,145.1576,138.736,128.3248,122.1396,119.238,112.229
Costa Rica,CRI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.595,3.581,3.264,2.363,1.885,1.772
Costa Rica,CRI,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,100.9398,97.7678,95.4168,74.9312,61.2882,53.46
Cote d'Ivoire,CIV,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,7.936,7.59,6.622,5.87,5.088,4.704
Cote d'Ivoire,CIV,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,217.0458,201.9094,156.048,137.767,127.4294,117.627
Croatia,HRV,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.979,1.888,1.63,1.39,1.55,1.42
Croatia,HRV,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,51.5446,44.4522,26.3734,16.773,12.5344,8.681
Cuba,CUB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.935,1.896,1.714,1.603,1.647,1.637
Cuba,CUB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,135.1928,95.9128,74.1354,52.9062,51.2666,51.592
Curacao,CUW,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,2.2,1.5
Curacao,CUW,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,73.2692,52.658,51.7088,41.2672,35.9156,27.942
Cyprus,CYP,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.61,2.354,2.411,1.716,1.424,1.337
Cyprus,CYP,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,20.772,34.8222,28.4488,9.5572,5.6706,4.582
Czech Republic,CZE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.92,2.08,1.9,1.15,1.51,1.63
Czech Republic,CZE,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,48.9186,55.344,44.8534,13.4416,10.898,11.972
Denmark,DNK,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.95,1.55,1.67,1.77,1.87,1.79
Denmark,DNK,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,34.141,15.6614,9.0282,7.1736,5.0092,4.123
Djibouti,DJI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.804,6.554,6.073,4.484,3.3,2.785
Djibouti,DJI,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,52.8324,52.9512,47.2616,33.099,23.152,18.841
Dominica,DMA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..,..
Dominica,DMA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,..,..,..,..,..,..
Dominican Republic,DOM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.182,4.381,3.411,2.839,2.503,2.367
Dominican Republic,DOM,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,137.7426,111.4804,111.0006,107.8534,100.4048,94.26
Ecuador,ECU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.138,4.73,3.744,3.102,2.615,2.451
Ecuador,ECU,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,118.95,97.0326,86.5112,84.1908,83.0816,79.261
"Egypt, Arab Rep.",EGY,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.233,5.61,4.58,3.34,3.233,3.37
"Egypt, Arab Rep.",EGY,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,138.8028,121.8324,89.501,55.6848,53.1962,53.819
El Salvador,SLV,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.172,5.1,3.964,3.022,2.265,2.059
El Salvador,SLV,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,136.372,123.8212,103.9888,91.262,77.1074,69.459
Equatorial Guinea,GNQ,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.808,5.835,5.987,5.834,5.209,4.599
Equatorial Guinea,GNQ,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,178.8756,176.484,192.812,183.0362,169.9012,155.622
Eritrea,ERI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.65,6.668,6.496,5.321,4.571,4.112
Eritrea,ERI,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,115.6052,115.89,111.9256,88.595,66.6218,52.553
Estonia,EST,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.17,2.02,2.05,1.36,1.72,1.6
Estonia,EST,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,30.6764,40.7506,46.0602,26.2586,18.7038,7.698
Eswatini,SWZ,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.871,6.721,5.106,3.915,3.342,3.018
Eswatini,SWZ,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,188.8692,184.1456,128.0542,108.631,84.7024,76.695
Ethiopia,ETH,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.978,7.316,7.246,6.543,5.136,4.35
Ethiopia,ETH,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,117.7668,121.3342,118.3444,110.6438,81.436,66.727
Faroe Islands,FRO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.4,2.5,2.8,2.6,2.5,2.5
Faroe Islands,FRO,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,..,..,..,..,..,..
Fiji,FJI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.543,3.907,3.398,3.09,2.752,2.788
Fiji,FJI,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,65.439,59.6872,63.0594,42.88,45.639,49.353
Finland,FIN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.83,1.63,1.78,1.73,1.87,1.49
Finland,FIN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,30.5244,19.3918,11.918,10.1402,8.1462,5.813
France,FRA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.55,1.85,1.77,1.89,2.03,1.92
France,FRA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,27.5376,17.104,8.7576,7.6438,6.888,4.727
French Polynesia,PYF,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.057,3.989,3.401,2.463,2.095,1.956
French Polynesia,PYF,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,98.9424,78.8628,63.0312,47.4068,41.2882,38.688
Gabon,GAB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.081,5.684,5.442,4.533,4.146,4.008
Gabon,GAB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,198.4398,206.215,184.2212,138.5048,110.4104,96.227
"Gambia, The",GMB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.185,6.376,6.096,5.879,5.583,5.281
"Gambia, The",GMB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,216.9484,206.81,163.212,123.7992,95.9158,78.185
Georgia,GEO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.707,2.314,2.18,1.608,1.911,2.062
Georgia,GEO,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,34.5598,44.239,62.8746,53.2282,51.2912,46.408
Germany,DEU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.03,1.44,1.45,1.38,1.39,1.57
Germany,DEU,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,45.028,25.3246,16.33,12.6676,8.7462,8.095
Ghana,GHA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.95,6.539,5.602,4.826,4.273,3.926
Ghana,GHA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,143.7896,131.5602,109.512,83.9638,72.5644,66.611
Gibraltar,GIB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..,..
Gibraltar,GIB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,..,..,..,..,..,..
Greece,GRC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.4,2.23,1.39,1.25,1.48,1.38
Greece,GRC,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,38.1502,48.9094,22.0782,11.0336,9.6486,7.223
Greenland,GRL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,2.435,2.444,2.329,2.195,2.09
Greenland,GRL,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,..,..,..,..,..,..
Grenada,GRD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.604,4.251,3.842,2.582,2.24,2.083
Grenada,GRD,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,109.392,100.9798,89.7506,55.2782,38.178,29.177
Guam,GUM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.372,3.248,3.013,2.824,2.488,2.334
Guam,GUM,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,92.6536,81.77,80.2224,62.3426,42.0748,31.713
Guatemala,GTM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.642,6.342,5.437,4.598,3.375,2.92
Guatemala,GTM,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,148.3468,141.4626,129.1102,111.514,82.7946,70.93
Guinea,GIN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.243,6.529,6.598,6.082,5.336,4.777
Guinea,GIN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,183.7348,179.1484,180.7146,168.9176,149.6754,135.294
Guinea-Bissau,GNB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.041,6.487,6.627,5.82,5.049,4.553
Guinea-Bissau,GNB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,108.6498,117.201,135.8034,130.187,112.732,104.823
Guyana,GUY,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.38,3.817,3.069,3.017,2.655,2.485
Guyana,GUY,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,119.9916,100.7152,84.6904,97.1796,86.8688,74.382
Haiti,HTI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.762,6.058,5.43,4.344,3.427,2.986
Haiti,HTI,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,67.6176,80.9658,75.882,68.519,59.5088,51.676
Honduras,HND,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,7.27,6.313,5.123,4.237,2.957,2.496
Honduras,HND,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,153.9984,142.4832,129.888,116.1338,86.1388,72.912
"Hong Kong SAR, China",HKG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.284,2.047,1.272,1.032,1.127,1.125
"Hong Kong SAR, China",HKG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,23.3664,11.5538,6.7246,4.3656,3.0146,2.705
Hungary,HUN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.98,1.91,1.87,1.32,1.25,1.53
Hungary,HUN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,53.783,64.6848,40.2462,22.8472,20.0066,23.979
Iceland,ISL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.81,2.48,2.3,2.08,2.2,1.74
Iceland,ISL,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,75.4664,49.5586,27.6654,19.7576,11.336,6.269
India,IND,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.587,4.827,4.045,3.311,2.581,2.243
India,IND,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,108.3178,109.0028,98.7892,66.837,34.6548,13.177
Indonesia,IDN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.474,4.43,3.122,2.512,2.483,2.336
Indonesia,IDN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,139.259,104.6548,67.038,50.3512,50.887,47.374
"Iran, Islamic Rep.",IRN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.44,6.482,4.691,2.067,1.839,2.116
"Iran, Islamic Rep.",IRN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,139.4816,138.7362,86.9396,37.3756,33.3566,40.635
Iraq,IRQ,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,7.362,6.569,5.882,4.94,4.343,3.762
Iraq,IRQ,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,131.6954,89.9794,70.4966,63.8182,77.235,71.733
Ireland,IRL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.85,3.21,2.11,1.89,2.05,1.81
Ireland,IRL,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,18.3266,20.74,16.0202,18.5508,12.9784,7.515
Isle of Man,IMN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..,..
Isle of Man,IMN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,..,..,..,..,..,..
Israel,ISR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.778,3.242,2.824,2.95,3.03,3.11
Israel,ISR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,40.8174,34.9496,20.3732,16.6924,12.541,9.607
Italy,ITA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.38,1.64,1.33,1.26,1.46,1.34
Italy,ITA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,28.029,20.0024,8.631,6.8174,6.336,5.24
Jamaica,JAM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.477,3.733,2.947,2.577,2.173,1.993
Jamaica,JAM,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,162.674,126.1882,101.1202,87.8926,66.0636,52.757
Japan,JPN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.135,1.75,1.54,1.359,1.39,1.43
